iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
672,0.0,0.0,25.326223100011703,1,75,"(1, 1)","(1, 50)",1,1,1.0,
672,0.0,0.0,29.25884570000926,1,75,"(1, 1)","(1, 50)",2,1,0.8655920113760225,
672,0.0,0.0,15.092834899958689,1,75,"(1, 1)","(1, 50)",4,3,1.6780295595813497,
672,0.0,0.0,10.229401299962774,1,75,"(1, 1)","(1, 50)",6,5,2.475826527609575,
672,0.0,0.0,9.675882100011222,1,75,"(1, 1)","(1, 50)",8,7,2.6174588361284736,
672,0.0,0.0,25.45293720002519,1,75,"(1, 1)","(15, 10)",1,1,1.0,
672,0.0,0.0,29.00651380000636,1,75,"(1, 1)","(15, 10)",2,1,0.8774903932102178,
672,0.0,0.0,14.557169199979398,1,75,"(1, 1)","(15, 10)",4,3,1.7484812363149018,
672,0.0010108947753906,0.0,10.006181600037962,1,75,"(1, 1)","(15, 10)",6,5,2.5437212932382343,0.0
672,0.0010128021240234,0.0,9.811309099954087,1,75,"(1, 1)","(15, 10)",8,7,2.59424475783199,0.0
576,0.0,0.0,24.91832279996015,1,75,"(1, 1)","(37, 37)",1,1,1.0,
576,0.0,0.0,29.287102900038008,1,75,"(1, 1)","(37, 37)",2,1,0.8508292160208107,
608,0.0,0.0,13.378207099973224,1,75,"(1, 1)","(37, 37)",4,3,1.8626055504859111,
576,0.0,0.0,9.521316800033674,1,75,"(1, 1)","(37, 37)",6,5,2.6171088855978435,
576,0.0,0.0,9.37780550000025,1,75,"(1, 1)","(37, 37)",8,7,2.6571592682274643,
608,0.0,0.0,25.257645900011997,1,75,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,29.174559300008696,1,75,"(1, 1)","(50, 50)",2,1,0.865742157071914,
608,0.0,0.0,13.99667079997016,1,75,"(1, 1)","(50, 50)",4,3,1.8045466854922276,
608,0.0,0.0,9.779857799992897,1,75,"(1, 1)","(50, 50)",6,5,2.5826189313335766,
608,0.0009992122650146,0.0,9.693472800019665,1,75,"(1, 1)","(50, 50)",8,7,2.6056343707861602,0.0
672,0.0,0.0,25.07311060000211,1,75,"(2, 3)","(1, 50)",1,1,1.0,
672,0.0,0.0,29.314805699978024,1,75,"(2, 3)","(1, 50)",2,1,0.8553053653710864,
672,0.0,0.0,15.234052499989048,1,75,"(2, 3)","(1, 50)",4,3,1.645859537376554,
672,0.0,0.0,10.297423400043044,1,75,"(2, 3)","(1, 50)",6,5,2.4348916836708203,
672,0.0,0.0011982917785644,10.193752399994992,1,75,"(2, 3)","(1, 50)",8,7,2.45965466063453,
672,0.0,0.0,25.26515020005172,1,75,"(2, 3)","(15, 10)",1,1,1.0,
672,0.0,0.0,28.94117790000746,1,75,"(2, 3)","(15, 10)",2,1,0.8729827889985503,
672,0.0,0.0,14.444644100032749,1,75,"(2, 3)","(15, 10)",4,3,1.7491016064559486,
672,0.0013811588287353,0.0,9.924225799972191,1,75,"(2, 3)","(15, 10)",6,5,2.545805658726801,0.0
672,0.0,0.0,9.913009000010788,1,75,"(2, 3)","(15, 10)",8,7,2.54868629696838,
576,0.0010077953338623,0.0,25.09312959999079,1,75,"(2, 3)","(37, 37)",1,1,1.0,1.0
576,0.0,0.0,29.10208830004558,1,75,"(2, 3)","(37, 37)",2,1,0.8622449819160053,inf
576,0.0,0.0,13.238734500017015,1,75,"(2, 3)","(37, 37)",4,3,1.8954326487896964,inf
576,0.0,0.0,9.57570470002247,1,75,"(2, 3)","(37, 37)",6,5,2.620499523124591,inf
576,0.0,0.0,9.430178199952934,1,75,"(2, 3)","(37, 37)",8,7,2.6609390690110213,inf
608,0.0014426708221435,0.0,25.03040280001005,1,75,"(2, 3)","(50, 50)",1,1,1.0,1.0
608,0.0,0.0,29.40394859999651,1,75,"(2, 3)","(50, 50)",2,1,0.8512599154799577,inf
608,0.0,0.0,14.053040100028738,1,75,"(2, 3)","(50, 50)",4,3,1.781137933276008,inf
608,0.0,0.0,9.785274099966044,1,75,"(2, 3)","(50, 50)",6,5,2.557966444710722,inf
608,0.0010035037994384,0.0,9.756787099991923,1,75,"(2, 3)","(50, 50)",8,7,2.5654349678318566,1.437633642195351
704,0.0,0.0,43.30087629996706,1,100,"(1, 1)","(1, 50)",1,1,1.0,
704,0.0,0.0,50.88425369997276,1,100,"(1, 1)","(1, 50)",2,1,0.8509680923155651,
704,0.0,0.0,28.62349979998544,1,100,"(1, 1)","(1, 50)",4,3,1.5127736511098857,
704,0.0,0.0,20.34988120000344,1,100,"(1, 1)","(1, 50)",6,5,2.1278196110530483,
704,0.0,0.0,18.218263800023124,1,100,"(1, 1)","(1, 50)",8,7,2.376783911753001,
704,0.0,0.0,43.14855870004976,1,100,"(1, 1)","(15, 10)",1,1,1.0,
704,0.001002550125122,0.0,50.48032820003573,1,100,"(1, 1)","(15, 10)",2,1,0.8547598686178752,0.0
704,0.0,0.0,26.40376369998557,1,100,"(1, 1)","(15, 10)",4,3,1.6341821260911125,
704,0.0,0.0,19.465436600032263,1,100,"(1, 1)","(15, 10)",6,5,2.2166756177448517,
704,0.0,0.0,17.233760000031907,1,100,"(1, 1)","(15, 10)",8,7,2.5037228498000363,
672,0.0,0.0,43.1146895000129,1,100,"(1, 1)","(37, 37)",1,1,1.0,
672,0.0,0.0,50.445191200007685,1,100,"(1, 1)","(37, 37)",2,1,0.8546838355527203,
608,0.0010356903076171,0.0,25.001909099984918,1,100,"(1, 1)","(37, 37)",4,3,1.7244558936516936,0.0
672,0.0,0.0,18.655216000042856,1,100,"(1, 1)","(37, 37)",6,5,2.3111332240759825,
672,0.0,0.0,16.702259899990167,1,100,"(1, 1)","(37, 37)",8,7,2.5813686146770043,
608,0.0,0.0,43.168582499958575,1,100,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,50.40930930001196,1,100,"(1, 1)","(50, 50)",2,1,0.8563613169750043,
608,0.0,0.0,24.60076280002249,1,100,"(1, 1)","(50, 50)",4,3,1.7547660148131305,
608,0.0,0.0,18.32010380004067,1,100,"(1, 1)","(50, 50)",6,5,2.356350322636422,
608,0.0,0.0009996891021728,16.62622699997155,1,100,"(1, 1)","(50, 50)",8,7,2.5964148390390944,
704,0.0,0.0,44.742119700007606,1,100,"(2, 3)","(1, 50)",1,1,1.0,
704,0.0,0.0,51.06931990000885,1,100,"(2, 3)","(1, 50)",2,1,0.8761056498815809,
704,0.0,0.0,28.43747230002191,1,100,"(2, 3)","(1, 50)",4,3,1.5733507967222928,
704,0.0,0.0,20.17821569996886,1,100,"(2, 3)","(1, 50)",6,5,2.217347676587512,
704,0.0,0.0,18.129192600026727,1,100,"(2, 3)","(1, 50)",8,7,2.467959863802299,
704,0.0,0.0,43.45651499996893,1,100,"(2, 3)","(15, 10)",1,1,1.0,
704,0.0,0.0,50.647730899974704,1,100,"(2, 3)","(15, 10)",2,1,0.8580150428810353,
704,0.0,0.0,26.56653269997332,1,100,"(2, 3)","(15, 10)",4,3,1.6357616362940948,
704,0.0,0.0,19.533410200034268,1,100,"(2, 3)","(15, 10)",6,5,2.2247275081487152,
704,0.0,0.0,17.297328800021205,1,100,"(2, 3)","(15, 10)",8,7,2.512325197860357,
672,0.0,0.0,42.98703349998687,1,100,"(2, 3)","(37, 37)",1,1,1.0,
672,0.0010023117065429,0.0,51.100952100008726,1,100,"(2, 3)","(37, 37)",2,1,0.841217858639067,0.0
672,0.0,0.0,25.37843260000227,1,100,"(2, 3)","(37, 37)",4,3,1.6938411515604406,
